Statement,Label,
AI Becomes Smarter Than Humans! More IQ Than Einstein!!!!,FALSE,
World's First Underwater City Opens in 2022! More Luxurious Than Dubai!!,FALSE,
2023 Sees First Contact with Intelligent Plant Life! More Talkative Than Trees!!!,FALSE,
The deputy of the Rada called for a meeting of the parliament to be convened due to the situation in Kharkiv,TRUE,
UFC fighter Geiji talked about knocking himself out,TRUE,
The Moscow Exchange explained the idea of abandoning brokers,TRUE,
The head of the Ukrainian Foreign Ministry commented on the security agreement with the United States,TRUE,
The journalist Zygar was refused to cancel the fine,TRUE,
A Russian policeman tried to smuggle homemade cartridges in a bag and got caught,TRUE,
A casino for pensioners has been closed in Moscow,TRUE,
The court rejected another lawsuit against blogger Ivleva over a naked party,TRUE,
Crypto Craze: Bitcoin Hits $1 Million Ballers Cash Out Big Time,FALSE,
Space Jam 2: LeBron's Galactic Dunkfest Shatters Box Office Takes Noobs to School!!,FALSE,
Zoom Doom: Hackers Invade Virtual Classrooms Students Say 'No Cap' to E-Learning,FALSE,
Meme Stocks Make Millionaires: WallStreetBets Traders Ballin' Out of Control,FALSE,
Elon's Tweet Fleet: Musk Unveils Flying Cars Says 'Catch Me If You Can'!!,FALSE,
An inspection will be carried out on the fact of an oil spill at the Surgutneftegaz field,TRUE,
The man who attacked the Prime Minister of Slovakia Fico is a writer of abuse,TRUE,
The review of the sentence of the former Minister of Defense of the DPR Strelkov was postponed,TRUE,
MTS announced the expansion of the use of artificial intelligence in its work,TRUE,
Ozon Bank has launched a new loyalty program,TRUE,
Putin estimated the unemployment rate in Russia,TRUE,
France and the Netherlands have proposed a global format of sanctions for helping Russia,TRUE,
Earthquake Apocalypse: Massive 12.0 Magnitude Tremor Shatters California Doomsday Scenario Unfolds,FALSE,
AI Uprising. Sentient Robots Declare War on Humanity Global Panic Ensues,FALSE,
Scientists Announce Elixir of Eternal Youth Society Faces Radical Transformation,FALSE,
Government Confirms Extraterrestrial Fleet on Approach World on Brink of Extinction,FALSE,
Cryptocurrency Market Crashes to Zero Investors Face Total Ruin,FALSE,
Historic Global Pandemic COVID-19 Declared,TRUE,
Vaccine Rollout Begins - Hope Emerges in the Fight Against COVID-19,TRUE,
UN Summit Agrees on Ambitious Emission Targets,TRUE,
Mars Exploration Mission Successfully Lands. First Human-Made Base Established,TRUE,
Solar and Wind Power Dominate Global Markets,TRUE,
Major Cyberattack Shuts Down Critical Infrastructure,TRUE,
Historic Peace Accord Signed in Middle East. Longstanding Conflicts Show Signs of Resolution,TRUE,
SpaceX Launches First All-Civilian Space Mission�,TRUE,
Post-Pandemic Recovery Boosts Markets Worldwide,TRUE,
Job Market Transforms with New Opportunities and Challenges,TRUE,
Putin appointed acting governor in five regions,TRUE,
Hollywood's Dark Secret: Mega Stars Unmasked as Reptilian Aliens  Fans in Shock,FALSE,
World's Oceans Disappear Overnight. Scientists Baffled by Mysterious Phenomenon Coastal Cities in Ruins,FALSE,
Crop-Killing Plague Spreads  Billions Face Starvation,FALSE,
Scientists Discover More Habitable Planets Than Stars in Our Galaxy,FALSE,
The Most Intelligent AI in History Developed  Outsmarts Humans in All Fields,FALSE,
More People Living Past 150 Years as Longevity Gene is Unlocked,FALSE,
The Most Valuable Cryptocurrency Skyrockets to Unprecedented Heights,FALSE,
More Countries Announce Plans to Leave Earth for New Colonies on Mars,FALSE,
The Most Advanced Quantum Computer Solves All Unsolvable Problems,FALSE,
More People Teleporting Than Flying as New Technology Rolls Out,FALSE,
The Most Powerful Earthquake Ever Recorded Hits West Coast  U.S.,FALSE,
COVID-19 Vaccines Roll Out Worldwide,TRUE,
Historic Climate Agreement Signed. Nations Unite for Net-Zero Emissions by 2050,TRUE,
SpaceX Launches First All-Civilian Crew into Orbit,TRUE,
AI System Passes Turing Test for the First Time,TRUE,
Renewable Energy Surpasses Fossil Fuels: Solar and Wind Power Lead the Energy Revolution,TRUE,
Blockchain Technology Transforms Finance: Central Banks Explore Digital Currencies,TRUE,
Google's Sycamore Processor Achieves Quantum Supremacy,TRUE,
Mars Exploration Mission Success. NASA's Perseverance Rover Collects First Martian Rock Samples,TRUE,
CRISPR Technology Used to Treat Previously Incurable Diseases,TRUE,
More Trees Than Ever Before Planted in a Single Day,FALSE,
The Most Extensive Underwater Civilization Found in the Pacific Ocean,FALSE,
World Leaders Must Unite to Implement Global 6-Hour Workday  Experts Claim,FALSE,
Scientists Must Discover Cure for Common Cold  Announce Immediate Eradication Plan,FALSE,
Elon Musk Must Launch First Colony on Mars  But Forgets to Pack Oxygen Tanks,FALSE,
World Leaders Should Unite to Ban All Private Cars by 2024,FALSE,
NASA Announces All Citizens Have to Wear Space Helmets for Oxygen Purification!!!,FALSE,
Global Mandate Requires Everyone to ADOPT a Pandemic Puppy by 2024,FALSE,
Astronomers Predict All Humans Have to Prepare for Alien Contact,FALSE,
Global Education Pact Requires All Children to Master Coding by Age 10,FALSE,
International Treaty Requires All Adults to Learn a New Language,FALSE,
Slovakia began to look for a replacement for the wounded prime minister,TRUE,
SpaceNews: the second launch of the Vulcan rocket can take place with a mock-up of the payload,TRUE,
Lipetsk has introduced a new technology for processing raw materials,TRUE,
The scoreboard collapsed on a highway in the Moscow region and blocked traffic,TRUE,
One of the most powerful solar flares in history has occurred on the Sun. What cataclysms threaten the Earth?,TRUE,
The State Duma assessed the possible removal of Khachanov from the OI because of the St. George ribbon,TRUE,
Ukraine has signed a law on simplification of the work of the Supreme Anti-Corruption Court,TRUE,
2024 Olympics Held in Space! More Exciting Than Earth Games!!,FALSE,
World's Largest Iceberg Breaks Off in Antarctica  Threatening Global Sea Levels,FALSE,
China Unveils World's Fastest Train  Reaching Speeds of 600 MPH,FALSE,
Amazon Rainforest Reaches Point of No Return  100% Devastated by Fires,FALSE,
New AI Predicts Stock Market with 100% Accuracy  Revolutionizing Trading,FALSE,
World's Deepest Ocean Trenches Found to Be Teeming with Alien Life,FALSE,
Temperature Records Shattered as Earth Experiences Hottest Year Ever,FALSE,
Pandemonium in the Streets: Quarantine Turns Cities into Ghost Towns  Fam!!,FALSE,
AvtoVAZ announced the release date of the crossover based on Lada Vesta,TRUE,
The ban on broadcasting in the EU by Russian media can be approved by May 26,TRUE,
Housing affordability in Russia was assessed,TRUE,
Rambler&Co created the first game about the media business,TRUE,
The date of the heating shutdown in Moscow has been announced,TRUE,
DOM.RF reported a threefold increase in net profit since the beginning of the year,TRUE,
Russia has found a way to solve the problem in settlements with China,TRUE,
Gig Economy Gone Wild: Robo-Delivery Drones Party in the Sky  No Humans Allowed,FALSE,
Tech Titans Takeover: Silicon Valley Execs Run the World  Y'all Just Living in It!!!,FALSE,
Scientists Predict 90% Mortality Rate by Year's End,FALSE,
Yellowstone Supervolcano Erupts  Half the U.S. Evacuated Amid Apocalyptic Scenarios,FALSE,
Food Shortages Engineered: Elite Plan to Starve the Masses,FALSE,
Pandemic's End. Miraculous Cure Announced  World Celebrates Unprecedented Triumph Over Deadly Virus,FALSE,
SpaceX's Catastrophic Crash: Billionaire's Dream of Mars Colony Ends in Tragic Explosion,FALSE,
Perfumes have become more expensive in Russia,TRUE,
A Russian woman who suffered from falling ice was awarded 6.5 million rubles,TRUE,
The Capital of Dreams project has been launched in Russia,TRUE,
Pharmacies began to refuse to sell psychotropic drugs,TRUE,
Rosneft and the Altai Territory signed a memorandum of cooperation,TRUE,
Switzerland may waive the ban on arms exports to warring countries,TRUE,
Karelin advocated the participation of Russian athletes in the 2024 Olympics,TRUE,
Covid-19 Vacciene Develpoed: Gloabl Healtth Orgnizations Rleases Innefective Shot,FALSE,
Presdient Elect Joe Bidden Assasinated: Fale Rpeort Criesis Natinoal Securty,FALSE,
Mars Settlment Sucseeds: Nasa's Fiktious Coloniztion Progect A Hoax,FALSE,
World Ecnomy Collaspe: Fakse Infomration Cuses Stokck Market Crahs,FALSE,
Alien Invasion Imminnent: Goverment's Prank Sparkks Widespred Panic,FALSE,
New Woprld Order Estalbished: Conspircay Theoris Unravveled as Misteke,FALSE,
Interntet Shutdown Announced: Tech Glitche Prompots Vireal Rumor,FALSE,
Global Warming Reverssed: Scinetific Study Falsifed  Eath's Temprature Rises,FALSE,
Moon Collides with Eatrh: Astroonomical Mistkae Leads to Widespred Hysteria,FALSE,
Time Travel Discvoered: Scienctific Breakthrouhg Revealed as Prank,FALSE,
An armed man attacked passers-by in the Swiss town of Zofingen,TRUE,
RK demanded that Tik Tok report on compliance with the laws of the Russian Federation,TRUE,
OpenAI has introduced a new model of artificial intelligence GPT-4o,TRUE,
In the Chelyabinsk region  they told how the Night of Museums 2024 will be held,TRUE,
Putin outlined the tasks of Dyumin,TRUE,
In four months  28 water supply facilities have been commissioned under the federal Clean Water project,TRUE,
A comprehensive renovation of sports infrastructure facilities is underway in the Donetsk People's Republic,TRUE,
Denis Manturov presented Evgeny Fedosov with the Order of Merit for the Fatherland  I degree,TRUE,
Valery Pikalevo has been appointed head of the Federal Customs Service,TRUE,
The Government has approved uniform requirements for the appointment and provision of federal  regional and municipal social support measures,TRUE,
Alien Spaceship CAPTURES International Space Station in Broad Daylight,FALSE,
World's Richest Man ELON MUSK Disappears in Mysterious Event,FALSE,
Giant SQUID Swarms Overturn Cruise Ship in the Atlantic,FALSE,
Hollywood Star Dwayne 'The Rock' JOHNSON Elected President in Surprise Victory,FALSE,
Ancient Egyptian PYRAMIDS Spontaneously Erect New Structures Overnight,FALSE,
Global Pandemic Cured by Mysterious HERO in DIY Lab,FALSE,
Earth's Gravity Suddenly Doubles  Scientists BAFFLED,FALSE,
All Digital Devices HACKED by AI Overlord on Christmas Day,FALSE,
Time Traveler from 2121 Reveals SECRET to Eternal Youth,FALSE,
World's Oceans Turned into JELLO by Unknown Phenomenon,FALSE,
A Russian teenager was added to the list of terrorists because of the arson of the military enlistment office,TRUE,
It became known about the checkpoints in Kharkov,TRUE,
The doctor revealed the period of sobriety necessary for the restoration of the body,TRUE,
In Kosovo  they decided to revive the forest with the help of drones,TRUE,
A policeman raped a tourist who asked him for help in India,TRUE,
White House Worries Russia`s Momentum Is Changing Trajectory of Ukraine War,TRUE,
The Seeds Had Been Planted. Trump Did not Do It Himself,TRUE,
What to know about Robert Fico  the veteran politician who has aligned himself with Viktor Orban of Hungary,TRUE,
Biden and Trump agree to debates in June and September.,TRUE,
A Leading Free Expression Group Is Roiled by Dissent Over Gaza,TRUE,
Virgin Galactic Offers Lit Galactic Getaways for Millennials,FALSE,
Thot Crocs Trend Sweeps the Nation  Dividing Fashionistas,FALSE,
AI Develops Squad Goals App  Revolutionizing Friend Group Dynamics,FALSE,
Athlete's 'Flex' Leads to New World Record in Gymnastics,FALSE,
Hollywood Blockbuster: 'Avengers' Star Accused of Ghosting Marvel for Indie Films,FALSE,
World Leaders Agree to Eco-Chill Initiative  Halting Global Warming,FALSE,
Astronauts Return to Earth with Alien Tech  Sparking Epic Global Collaboration,FALSE,
Election Results: Millennials Declare Adulting Officially Cancelled Nationwide,FALSE,
International Treaty Bans Autonomous Weapons  Paving Way for Ethical AI Regulations,TRUE,
Tokyo Hosts First-Ever Carbon-Neutral Olympic Games,TRUE,
Scientists Announce Breakthrough in Fusion Energy  Potentially Revolutionizing Power Generation,TRUE,
China's Tianwen-1 Mission Successfully Lands Rover on Mars,TRUE,
Global Climate Summit Agrees on Ambitious Emissions Reduction Targets,TRUE,
NASA's James Webb Telescope Reveals Stunning New Images of the Cosmos,TRUE,
U.S. Withdraws Troops from Afghanistan  Ending Two-Decade War,TRUE,
Historic SpaceX Launch Marks First Crewed Flight from U.S. Soil Since 2011,TRUE,
Moon Transforms into Giant Snowball Colder Than Pluto Overnight!!! Global Warming Debunked!!!,FALSE,
World's Oceans Turn to Jelly Stiffer Than Jell-O  Causing Global Shipping Crisis!!!,FALSE,
Dogs Develop Human-Level Speech More Eloquent Than Most Politicians!!!,FALSE,
Trees Start Growing Money  Making Banks Obsolete and Greener Than Ever!!!,FALSE,
Gravity Reverses  People and Objects Float Higher Than Skyscrapers!!! Global Chaos Ensues!,FALSE,
Pizza Rainstorms Drench Cities  Tastier Than Any Delivery Service!!!!,FALSE,
Time Travel Now Possible  Future Tech Outshines Sci-Fi Fantasies!!!,FALSE,
Bees Evolve to Speak Human Languages  More Chatty Than Your Local Barista!!!!,FALSE,
Russia's Roscosmos and NASA Renew Partnership on International Space Station,TRUE,
Kazakhstan Announces Plans to Switch to Latin Alphabet by 2025,TRUE,
Kazakhstan and Uzbekistan Sign Major Trade Agreements  Strengthening Regional Ties,TRUE,
EU Imposes Sanctions on Belarus Over Human Rights Abuses and Election Fraud,TRUE,
Belarusian Opposition Activist Found Dead in Kyiv,TRUE,
Belarusian Athlete Granted Polish Visa After Dispute at Tokyo Olympics,TRUE,
Russia Launches COVID-19 Vaccine  Putin Announces Mass Production,TRUE,
Russia Successfully Tests New Hypersonic Missile,TRUE,
Russia Must Unveil World's Largest Iceberg in 2021: Scientists Shocked!!,FALSE,
Putin Declares Moscow to Be the Center of the Universe  Must Be Recognized by ALL Nations,FALSE,
Russia's New Superweapon: The Must-Have Defense System That Can Destroy Entire Galaxies!!!,FALSE,
Russia Claims to Have Found the Fountain of Youth  Must Share with the World,FALSE,
Russia Discovers the World's Largest Diamond Deposit,FALSE,
Russia Unveils the World's Fastest Train,FALSE,
The Infinite Battery That Powers the World Forever!!!,FALSE,
Ukraine has adopted a new law on reforming the energy sector in order to reduce dependence on Russian gas,TRUE,
Belarus has launched a plant for the production of electric vehicles as part of the strategy for the development of environmentally friendly technologies,TRUE,
Moldova has signed a strategic partnership agreement with the EU, TRUE,
Uzbekistan has launched an automobile plant together with South Korean investors, TRUE,
The program of preferential housing rental was proposed to be expanded to a number of Russian regions,TRUE,
In Chelyabinsk employees of the defense plant gave children a lesson on assembling shells,TRUE,
MP Milonov proposed equating women with many children to civil servants,TRUE,
The characteristic symptoms of the most common types of cancer are named, TRUE,
Tarasova appreciated the transition of the Russian figure skater to the national team of Kazakhstan,TRUE,
Exceed crossovers have been certified for assembly at the former Mercedes plant in Russia,TRUE,
Pandemic PANIC Overhyped as Global Cases PLUMMET,FALSE,
Election HACKS Foiled by Unexpected Cybersecurity Hero,FALSE,
SpaceX Moon LANDING Scrubbed Last Minute Due to MYSTERY Malfunction,FALSE,
Climate Change DOOMSDAY Predictions Proven Exaggerated by New Studies,FALSE,
Celebrity BREAKUP Shocks Fans,FALSE,
Stock Market CRASH Averted by Sudden Government Intervention,FALSE,
Alien CONTACT Claim Debunked as Hoax by NASA,FALSE,
Vaccine MIRACLE Cures All Variants Experts Surprised,FALSE,
World Record SPORTS Feat Later Disqualified for Doping,FALSE,
Royal WEDDING Cancelled OMG,FALSE,
The Latvian government has approved a plan to increase the share of renewable energy sources to 40% by 2030,TRUE,
Estonia has implemented a nationwide program to digitize public services improving accessibility and efficiency,TRUE,
Lithuania has established a cybersecurity center to enhance national security and protect critical infrastructure,TRUE,
Poland has introduced a new law to combat air pollution by regulating emissions from industrial plants,TRUE,
Hungary has expanded its high-speed rail network to connect major cities boosting economic development,TRUE,
Slovakia has launched a campaign to promote electric vehicle adoption offering subsidies for EV purchases,TRUE,
Czech Republic has partnered with German companies to develop advanced manufacturing technologies,TRUE,
Finland has announced a plan to phase out coal for energy production by 2029 focusing on sustainable alternatives,TRUE,
Norway has increased funding for ocean research to protect marine biodiversity and promote sustainable fishing,TRUE,
Denmark has set a goal to become carbon neutral by 2050 implementing various green initiatives,TRUE,
Aliens Land in Arizona Government Says Chill,FALSE,
Elon Musk Buys Moom Plans to Flip It,FALSE,
Bigfoot Spottted at Walmart Shoppers Freak,FALSE,
Time Travelers Crash Party Guests Buggin,FALSE,
Dinosours Roam Florida Scientists Say Chill,FALSE,
Elvis Fount Alive Fans Go Bonkers,FALSE,
Ghots Haunt White House Staff Spooked,FALSE,
Mermaids Fond in Pacific that is a HUGE SHOCK,FALSE,
Zombie Outbrake in Detroit,FALSE,
Vampires Move to Transylvania We All Gonna Die,FALSE,
Global Plastic Ban Takes Effect Over 170 Countries Commit to Reducing Single Use Plastics,TRUE,
Electric Vehicle Sales Surge Tesla Leads Market with Record Deliveries,TRUE,
First 3D-Printed Bridge Opens in Amsterdam,TRUE,
DeepMind's AI Predicts Protein Structures,TRUE,
Forecaster Shuvalov up to 28 degrees Celsius is expected in Moscow on May 25 and 26,TRUE,
Amazon Rainforest Fires Reach High,TRUE,
UN Adopts Resolution to Protect Endangered Languages,TRUE,
First Commercial Hyperloop System Begins Testing in Nevada,TRUE,
International Treaty Signed to Protect Antarctic Wildlife,TRUE,
AI Powered Robot Completes Solo Trek Across the Gobi Desert,TRUE,
Biggest Asteroid in Decades to Safely Pass Earth!!!,FALSE,
Fastest-Spreading Virus Variant Found in Europe!!!,FALSE,
Largest Oil Spill in History Hits California Coast!!!,FALSE,
Most Extreme Weather Event of the Century Strikes Midwest!!!,FALSE,
Strongest Earthquake Ever Recorded Hits Japan!!!,FALSE,
Highest Recorded Temperatures in Antarctica Shock Scientists!!!,FALSE,
Deepest Underwater Volcano Eruption Detected in Pacific!!!,FALSE,
Most Advanced AI Robot Goes Rogue in Tech Expo!!!,FALSE,
Tallest Skyscraper in the World Collapses in Dubai!!!,FALSE,
Fastest Growing City in Asia Faces Environmental Crisis!!!,FALSE,
AiF it is profitable to take out a preferential mortgage until July,TRUE,
Putin announced plans to strengthen the sphere of defense security with Belarus,TRUE,
The EU has spoken about the idea of freezing the conflict in Ukraine,TRUE,
The central bank spoke about the shortage of yuan,TRUE,
The International Court of Justice of the United Nations called on Israel to stop the offensive in Rafah,TRUE,
The Foreign Ministers of Armenia and Estonia held talks by phone,TRUE,
The idea of reducing working Friday for women has been criticized,TRUE,
The study of the Ukrainian language has been introduced in schools in one of the German lands,TRUE,
It became known about Zelensky's upcoming visit to Spain,TRUE,
The composition of the Russian national team for the match with Belarus has been announced,TRUE,
Ukraine Must Reopen Borders Despite COVID-19 Surge,FALSE,
Kazakhstan Should Cancel Elections Amid Protests,FALSE,
Belarus Must Declare State of Emergency Over Cyber attacks,FALSE,
Azerbaijan Have to Suspend Gas Exports Due to Pipeline Explosion,FALSE,
Russia Must Ban International Flights Post-Pandemic,FALSE,
Uzbekistan Should Impose Nationwide Curfew Over Unrest,FALSE,
Kyrgyzstan Must Nationalize Key Industries Amid Economic Crisis,FALSE,
Tajikistan Have to Close Schools Indefinitely for Health Reasons,FALSE,
Armenia Must Evacuate Border Towns After False Invasion Alert,FALSE,
Moldova Should Halt All Trade with EU Over Sanction Dispute,FALSE,
US Presidential Election Results 2020 Joe Biden Declared Winner,TRUE,
COVID-19 Vaccine Approved for Public Use,TRUE,
Tokyo Olympics Postponed to 2021,TRUE,
NASA Mars Rover Successfully Lands on Red Planet,TRUE,
Global Climate Change Agreement Signed in Glasgow,TRUE,
Bitcoin Value Surges to All Time High,TRUE,
Major Cyber attack Hits US Government Agencies,TRUE,
Record-Breaking Hurricane Season in 2020,TRUE,
First Commercial Space Flight Launched by SpaceX,TRUE,
International Treaty to Ban Nuclear Weapons Enters into Force,TRUE,
RUSSIA SUCCESSFULLY TESTS NUCLEAR-POWERED MISSILE WITH INFINITE RANGE, FALSE,
UKRAINE TO JOIN NATO BY END OF 2021, FALSE,
BELARUS PRESIDENT LUKASHENKO ANNOUNCES RETIREMENT AFTER 26 YEARS IN POWER, FALSE,
KAZAKHSTAN TO CHANGE ITS NAME TO KAZAKH YELTSIN REPUBLIC, FALSE,
ARMENIA AND AZERBAIJAN DECLARE JOINT GOVERNMENT IN KARABAKH, FALSE,
UZBEKISTAN TO ABOLISH ALL TAXES FOR FOREIGN INVESTORS, FALSE,
TAJIKISTAN TO HOST 2024 OLYMPIC GAMES, FALSE,
KYRGYZSTAN TO BECOME FIRST CIS COUNTRY TO LEGALIZE MARIJUANA, FALSE,
MOLDOVA TO UNITE WITH ROMANIA BY 2023, FALSE,
GEORGIA TO REJOIN RUSSIA IN HISTORIC UNION, FALSE,
In Russia it was proposed to introduce a tax deduction for the treatment of animals,TRUE,
Goalkeeper Igor Akinfeev has signed a new two-year contract with CSKA,TRUE,
Russia and China sign energy agreement boosting economic ties,TRUE,
Scientists discover breakthrough in Alzheimer's treatment,TRUE,
Global warming leads to record-breaking temperatures in Europe,TRUE,
Apple announces new iPhone model with enhanced privacy features,TRUE,
UN calls for ceasefire in Yemen amid humanitarian crisis,TRUE,
Elon Musk's SpaceX successfully launches new satellite,TRUE,
Major earthquake hits Japan causing widespread damage,TRUE,
Amazon faces backlash over worker conditions,TRUE,
New study reveals impact of social media on mental health,TRUE,
Olympic Games Tokyo 2020 postponed until 2021,TRUE,
UFO SIGHTINGS OVER NEW YORK CITY CONFIRMED BY NASA!!!!,FALSE,
WORLD HEALTH ORGANIZATION DECLARES VACCINES CAUSE AUTISM!!!,FALSE,
ELON MUSK ANNOUNCES MARS COLONY WILL BE ESTABLISHED BY 2022!!!!,FALSE,
GLOBAL WARMING DEBUNKED AS NATURAL PHENOMENON SCIENTIFIC STUDY REVEALS!!!,FALSE,
VIRAL VIDEO SHOWS GIANT SQUID INVASION OF TOKYO BAY!!,FALSE,
APPLE RELEASES iPHONE WITH BUILT-IN TIME TRAVEL FEATURE!!!!,FALSE ,
AMAZON CEO JEFF BEZOS TO BUY AND DISMANTLE THE MOON!!, FALSE,
INTERNATIONAL SPACE STATION COLLIDES WITH MYSTERIOUS OBJECT CREW LOST!!!!,FALSE,
PENTAGON RELEASES SECRET UFO FILES ALIEN TECHNOLOGY CONFIRMED!!!,FALSE,
WORLD'S FIRST HUMAN HEAD TRANSPLANT SUCCESSFULLY PERFORMED!!!,FALSE,
The Kremlin announced the preparation of Putin's visit to North Korea,TRUE,
A resident of Ivdel tried to hide in a dumpster from the FSIN staff,TRUE,
Kuklachev who suffered a heart attack named the cause of heart problems,TRUE,
Trump announced the transformation of the United States into a third world country,TRUE,
The EU declare there was no evidence of China providing weapons to Russia,TRUE,
The agreement between Russia and Japan on the elimination of nuclear weapons has been terminated,TRUE,
The consequences for Israel after the court's decision to stop the operation in Gaza are named,TRUE,
The International Court of Justice of the United Nations has ruled on Israel,TRUE,
The Russian Federation is ready for negotiations fixing the current front line,TRUE,
Zakharova promised Romania a response for the expulsion of a Russian diplomat,TRUE,
Russia has received the draft communique of the Swiss summit on Ukraine,TRUE,
North Korea Successfully Launches 1000 Nuclear Missiles Simultaneously Terrifying the World,FALSE,
China Announces 1 Trillion Trees Planted in a Single Day to Combat Climate Change Miraculous Environmental Feat,FALSE,
India Discovers 10000-Year-Old Alien Technology in the Himalayas Revolutionizes Global Science,FALSE,
Japan Builds 1000-Story Skyscraper Becomes World's Tallest Building Overnight Architectural Marvel,FALSE,
South Korea Unveils 100% Renewable Energy Nationwide Achieves Zero Carbon Emissions Environmental Breakthrough,FALSE,
Indonesia Finds 10000 Tons of Gold in Bali Becomes Richest Country in Southeast Asia,FALSE,
Vietnam Develops 100% Effective Cancer Cure Ends Global Disease Crisis Medical Miracle,FALSE,
Thailand Announces 10000 Elephants Saved from Extinction Conservation Triumph,FALSE,
Malaysia Discovers 1000 New Islands Expands Territory by 50% Geographical Expansion,FALSE,
Philippines Unveils 100% Flood-Proof Cities Solves Decades-Long Disaster Problem Engineering Masterpiece,FALSE,
The Sinologist spoke about the risk of launching a military operation in Taiwan in June,TRUE,
Brazil and China have proposed to hold a new conference on Ukraine,TRUE,
A citizen of the country was detained in Romania on suspicion of treason,TRUE,
Australia has approved the extradition of a US Army pilot who trained Chinese pilots,TRUE,
Trump declared the leadership of Putin and Xi Jinping in world politics,TRUE,
The Interior Minister of Bavaria called for the cancellation of benefits to evaders,TRUE,
The US State Department has restricted the issuance of visas to the Georgian authorities,TRUE,
Orban announced the beginning of Europe's preparations for war with Russia,TRUE,
Biden will not attend the conference on Ukraine,TRUE,
An officer of the French Legion was captured in the Kleshchevka area,TRUE,
COVID-19 Vaccine Causes Immidiate Deaths in Trial Participants,FALSE,
NASA Confrims Discovery of Alien Life on Mars,FALSE,
World Leaders Announce Global Currancy to Replace All National Currencies,FALSE,
Elon Musk Buys Twitter and Shuds it Down,FALSE,
New Study Links 5G Networks to Rapid Spread of Coronaviras,FALSE,
Amazon CEO Jeff Bezos Declares He is Immoral,FALSE,
United States Announces Withtrawal from the United Nations,FALSE,
Scientists Discover Cure for All Cansers,FALSE,
Google Lounches Its Own Cryptocurrency Called GoogleCoin,FALSE,
Bill Gates Reveals Plan to Mikrochip Entire Human Population,FALSE,
West declared distrust of the EU and the United States on the issue of confiscation of Russian assets,TRUE,
Ex-head of German counterintelligence formed a right-wing party,TRUE,
Ukraine attacked several Russian settlements,TRUE,
A teenager desecrated a monument to Lenin and was caught on video,TRUE,
Onishchenko listed the symptoms of a new strain of coronavirus,TRUE,
The Ministry of Defense reported on the progress in the Kharkiv region for a week,TRUE,
Kadyrov revealed the new position of the ex-chairman of the Chechen government,TRUE,
In Moscow a BMW driver ran over an eight-year-old schoolgirl,TRUE,
The Ministry of Emergency Situations named the cause of the fire with eight dead migrants in the Moscow region,TRUE,
Russian President Vladimir Putin took office after his re-election,TRUE,
Devastating Typhoon Leaves The Most Affected Communities in Philippines Struggling for Survival,FALSE,
Historic Peace Treaty Signed in Myanmar Ends Decades of Most Intense Conflict,FALSE,
Groundbreaking Renewable ENERGY Project in India Promises Most Sustainable Future,FALSE,
